program,quality,season,ytm,shipping_mark,brand_name,pss,basket,flow_type,packaging_status,product_code,description,detail_size_description,new_repeat,master_contract,sam,design,widths,color,article,size_name,size_dims,quantity,cancelled_qty,pcb,order_cartons,net_wt_pcs,net_wt_ctn,gross_weight,total_net_wt,total_gross_wt,l,w,h,cbm,total_volume,tag_cards_yellow_tags,line_product_code_stickers,price,total_value,week_date,no_of_days,ytm_ship_dates,initial_fri,etd,comments,merged,etd_remarks,greige_file
MORROCO PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,7123,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I912525,PARURE HC 140 DINOS,QC 140X200 + 1PC 65X65 Buttoned duvet,REPEAT,,,JUNIOR DINOS,,ECRU,DUVET/QUILT COVER SET,SINGLE,140X200,80,,5,16,,,4.94,,,27.5,26.0,33.0,,,,,6.46,516.8,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,ISSUED ON 21 AUG ETD,issuing on 21 aug ETD,,
MORROCO PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,7123,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I996077,PARURE 140 JUNIOR LEA,QC 140X200 + 1PC 65X65 flap,REPEAT,,,JUNIOR LEA,,OFF WHITE,DUVET/QUILT COVER SET,SINGLE,140X200,80,,5,16,,,4.94,,,27.5,26.0,33.0,,,,,6.46,516.8,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,ISSUED ON 21 AUG ETD,issuing on 21 aug ETD,,
MORROCO PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,7123,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I996078,PARURE 140 JUNIOR UNICORN,QC 140X200 + 1PC 65X65 flap,REPEAT,,,JUNIOR UNICORN,,GREEN,DUVET/QUILT COVER SET,SINGLE,140X200,80,,5,16,,,4.94,,,27.5,26.0,33.0,,,,,6.46,516.8,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,ISSUED ON 21 AUG ETD,issuing on 21 aug ETD,,
MORROCO PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,7212,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I291887,PARURE 140X200 JUNIOR BIRD,QC 140X200 CM + 1 PC 65x65,NEW,,,JUNIOR BIRD,,PINK,DUVET/QUILT COVER SET,SINGLE,140X200,80,,5,16,,,4.94,,,27.5,26.0,33.0,,,,,6.46,516.8,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,ISSUED ON 21 AUG ETD/FRANCE ETD,issuing on 21 aug ETD,,
MORROCO PRINTS,MICROFIBER,SSH-27,7293,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I299062,PARURE 240X220 MICROPALM,QC 240X220 + 2 PC 60x60,NEW,,,MICROPALM,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,240X220,160,,5,32,,,,,,,,,,,,,6.49,1038.4,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,ISSUED ON 24 AUG ETD,,,
MORROCO PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,7110,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I996096,PARURE HC 140 PAW PATROL,QC 140X200 + 1PC 65X65,REPEAT,,,TEAM PAW PATROL NEW,,BLUE DARK,DUVET/QUILT COVER SET,SINGLE,140X200,44,,4,11,1.02,4.08,4.58,44.88,50.38,27.5,24.0,33.0,0.022,0.24,,,9.08,399.52,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,,issuing on 21 aug ETD,,
FRANCE PRINTS,"T-200, 40x40/130x70 100% Cotton satin",SSH-27,6813,,,54SSH27FRCA0105,SSH27FRCA0001,PROMO,,I277926,PARURE 200X200 BLEUET,QC 200X200+ 2PC 65X65 BOTTLENECK,,,,BLEUET,,BLUE DARK,DUVET/QUILT COVER SET,STANDARD,200X200,416,,4,104,1.54,6.17,6.67,641.68,693.68,33.0,27.5,33.0,0.0299475,,"34,99€
-20%
27,99€",12.0,13.63,5670.08,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGNG,,,
FRANCE PRINTS,"T-200, 40x40/130x70 100% Cotton satin",SSH-27,6813,,,54SSH27FRCA0109,SSH27FRCA0001,PROMO,,I277926,PARURE 200X200 BLEUET,QC 200X200+ 2PC 65X65 BOTTLENECK,,,,BLEUET,,BLUE DARK,DUVET/QUILT COVER SET,STANDARD,200X200,300,,4,75,1.54,6.17,6.67,462.75,500.25,33.0,27.5,33.0,0.0299475,,"34,99€
-20%
27,99€",12.0,13.63,4089.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGNG,,,
FRANCE PRINTS,"T-200, 40x40/130x70 100% Cotton satin",SSH-27,6813,,,54SSH27FRCA0105,SSH27FRCA0001,PROMO,,I277927,PARURE 240X220 BLEUET,QC 240X220+ 2PC 65X65 BOTTLENECK,,,,BLEUET,,BLUE DARK,DUVET/QUILT COVER SET,DOUBLE,240X220,710,,5,142,1.89,9.43,9.93,1339.06,1410.06,45.0,27.5,33.0,0.0408375,,"39,99€
-20%
31,99€",12.0,16.45,11679.5,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGNG,,,
FRANCE PRINTS,"T-200, 40x40/130x70 100% Cotton satin",SSH-27,6813,,,54SSH27FRCA0109,SSH27FRCA0001,PROMO,,I277927,PARURE 240X220 BLEUET,QC 240X220+ 2PC 65X65 BOTTLENECK,,,,BLEUET,,BLUE DARK,DUVET/QUILT COVER SET,DOUBLE,240X220,495,,5,99,1.89,9.43,9.93,933.57,983.07,45.0,27.5,33.0,0.0408375,,"39,99€
-20%
31,99€",12.0,16.45,8142.75,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGNG,,,
FRANCE PRINTS,"T-200, 40x40/130x70 100% Cotton satin",SSH-27,6813,,,54SSH27FRCA0105,SSH27FRCA0001,PROMO,,I277928,PARURE 260X240 BLEUET,QC 260X240+ 2PC 65X65 BOTTLENECK,,,,BLEUET,,BLUE DARK,DUVET/QUILT COVER SET,KING,260X240,416,,4,104,2.1,8.39,8.89,872.56,924.56,40.0,27.5,33.0,0.0363,,"44,99€
-20%
35,99€",12.0,18.41,7658.56,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGNG,,,
FRANCE PRINTS,"T-200, 40x40/130x70 100% Cotton satin",SSH-27,6813,,,54SSH27FRCA0109,SSH27FRCA0001,PROMO,,I277928,PARURE 260X240 BLEUET,QC 260X240+ 2PC 65X65 BOTTLENECK,,,,BLEUET,,BLUE DARK,DUVET/QUILT COVER SET,KING,260X240,300,,4,75,2.1,8.39,8.89,629.25,666.75,40.0,27.5,33.0,0.0363,,"44,99€
-20%
35,99€",12.0,18.41,5523.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGNG,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0105,SSH27FRCA0001,PROMO,,I300516,PARURE 260X240 MICROPANSY,QC:260X240  2PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,KING,260x240,1800,,5,360,1.17,5.85,6.35,2106.0,2286.0,30.0,27.5,33.0,0.027,,16.99 €,68.0,7.81,14058.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0109,SSH27FRCA0001,PROMO,,I300516,PARURE 260X240 MICROPANSY,QC:260X240  2PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,KING,260x240,975,,5,195,1.17,5.85,6.35,1140.75,1238.25,30.0,27.5,33.0,0.027,,16.99 €,68.0,7.81,7614.75,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6902,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I912525,PARURE HC 140 DINOS,QC 140X200 + 1PC 65X65 Buttoned duvet,REPEAT,,,JUNIOR DINOS,,ECRU,DUVET/QUILT COVER SET,SINGLE,140X200,765,,5,153,0.89,4.44,4.94,679.32,755.82,27.5,26.0,33.0,0.024,3.61,"16,99€
-20%
13,59€",14.0,6.46,4941.9,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6902,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I912525,PARURE HC 140 DINOS,QC 140X200 + 1PC 65X65 Buttoned duvet,REPEAT,,,JUNIOR DINOS,,ECRU,DUVET/QUILT COVER SET,SINGLE,140X200,395,,5,79,0.89,4.44,4.94,350.76,390.26,27.5,26.0,33.0,0.024,1.864,"16,99€
-20%
13,59€",14.0,6.46,2551.7,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6904,,,54SSH27FRCA0104,SSH27FRCA0001,PROMO,,I957308,PARURE 140X200 DIPDYE,140X200 BUTTONED DUVET WITH 65X65 PC +23 FLAP,,,,DIP DYE,,BLUE,DUVET/QUILT COVER SET,SINGLE,140X200,160,,4,40,0.99,3.95,4.45,158.0,178.0,27.5,22.0,33.0,0.02,,"19,99€
14,99€",176.0,7.15,1144.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6904,,,54SSH27FRCA0108,SSH27FRCA0001,PROMO,,I957308,PARURE 140X200 DIPDYE,140X200 BUTTONED DUVET WITH 65X65 PC +23 FLAP,,,,DIP DYE,,BLUE,DUVET/QUILT COVER SET,SINGLE,140X200,108,,4,27,0.99,3.95,4.45,106.65,120.15,27.5,22.0,33.0,0.02,,"19,99€
14,99€",176.0,7.15,772.2,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6904,,,54SSH27FRCA0104,SSH27FRCA0001,PROMO,,I957309,PARURE 200X200 DIPDYE,200X200 BUTTONED DUVET WITH 65X65 PC +23 FLAP,,,,DIP DYE,,BLUE,DUVET/QUILT COVER SET,STANDARD,200X200,144,,4,36,1.14,4.55,5.05,163.8,181.8,27.5,28.0,33.0,0.025,,"25,99€
19,99€",176.0,10.34,1488.96,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6904,,,54SSH27FRCA0108,SSH27FRCA0001,PROMO,,I957309,PARURE 200X200 DIPDYE,200X200 BUTTONED DUVET WITH 65X65 PC +23 FLAP,,,,DIP DYE,,BLUE,DUVET/QUILT COVER SET,STANDARD,200X200,104,,4,26,1.14,4.55,5.05,118.3,131.3,27.5,28.0,33.0,0.025,,"25,99€
19,99€",176.0,10.34,1075.36,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6904,,,54SSH27FRCA0104,SSH27FRCA0001,PROMO,,I957310,PARURE 240X220 DIPDYE,240X220 BUTTONED DUVET WITH 65X65 PC +23 FLAP,,,,DIP DYE,,BLUE,DUVET/QUILT COVER SET,DOUBLE,240X220,200,,5,40,1.34,6.72,7.22,268.8,288.8,40.0,27.5,33.0,0.036,,"30,99€
24,99€",176.0,12.29,2458.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,6904,,,54SSH27FRCA0108,SSH27FRCA0001,PROMO,,I957310,PARURE 240X220 DIPDYE,240X220 BUTTONED DUVET WITH 65X65 PC +23 FLAP,,,,DIP DYE,,BLUE,DUVET/QUILT COVER SET,DOUBLE,240X220,150,,5,30,1.34,6.72,7.22,201.6,216.6,40.0,27.5,33.0,0.036,,"30,99€
24,99€",176.0,12.29,1843.5,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6877,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I958289,PARURE 200X200 CM SAGARA,QC 200X200+ 2PC 65X65,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,STANDARD,200X200,648,,4,162,1.37,5.48,5.98,887.76,968.76,30.0,27.5,33.0,0.027,,"29,99€
-20%
23,99€",150.0,12.23,7925.04,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6877,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I958289,PARURE 200X200 CM SAGARA,QC 200X200+ 2PC 65X65,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,STANDARD,200X200,400,,4,100,1.37,5.48,5.98,548.0,598.0,30.0,27.5,33.0,0.027,,"29,99€
-20%
23,99€",150.0,12.23,4892.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6877,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I958290,PARURE 240X220 CM SAGARA,QC 240X220+ 2PC 65X65,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,240X220,1030,,5,206,1.82,9.11,9.61,1876.66,1979.66,40.0,27.5,33.0,0.036,,"34,99€
-20%
27,99€",150.0,14.54,14976.2,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6877,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I958290,PARURE 240X220 CM SAGARA,QC 240X220+ 2PC 65X65,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,240X220,645,,5,129,1.82,9.11,9.61,1175.19,1239.69,40.0,27.5,33.0,0.036,,"34,99€
-20%
27,99€",150.0,14.54,9378.3,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6877,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I959200,PARURE 260X240 CM SAGARA,QC 260X240 +2PC 65X65,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,KING,260X240,692,,4,173,2.0,7.99,8.49,1382.27,1468.77,36.0,27.0,33.0,0.032,,"39,99€
-20%
31,99€",150.0,16.13,11161.96,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6877,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I959200,PARURE 260X240 CM SAGARA,QC 260X240 +2PC 65X65,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,KING,260X240,400,,4,100,2.0,7.99,8.49,799.0,849.0,36.0,27.0,33.0,0.032,,"39,99€
-20%
31,99€",150.0,16.13,6452.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,MERGE,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6816,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I972878,PARURE HC140 MICROJUNIOR,QC 140X200 + 1PC 60X60,REPEAT,,,MICROJUNIOR STRIPES,,NAVY,DUVET/QUILT COVER SET,SINGLE,140X200,875,,5,175,0.55,2.77,3.27,484.75,572.25,27.5,24.0,33.0,0.022,,6.99 €,14.0,3.88,3395.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,MICROFIBER,SSH-27,6816,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I972878,PARURE HC140 MICROJUNIOR,QC 140X200 + 1PC 60X60,REPEAT,,,MICROJUNIOR POLKA DOT,,PINK,DUVET/QUILT COVER SET,SINGLE,140X200,880,,5,176,0.55,2.77,3.27,487.52,575.52,27.5,24.0,33.0,0.022,,6.99 €,14.0,3.88,3414.4,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,MICROFIBER,SSH-27,6816,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I972878,PARURE HC140 MICROJUNIOR,QC 140X200 + 1PC 60X60,REPEAT,,,MICROJUNIOR STRIPES,,NAVY,DUVET/QUILT COVER SET,SINGLE,140X200,470,,5,94,0.55,2.77,3.27,260.38,307.38,27.5,24.0,33.0,0.022,,6.99 €,14.0,3.88,1823.6,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6816,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I972878,PARURE HC140 MICROJUNIOR,QC 140X200 + 1PC 60X60,REPEAT,,,MICROJUNIOR POLKA DOT,,PINK,DUVET/QUILT COVER SET,SINGLE,140X200,460,,5,92,0.55,2.77,3.27,254.84,300.84,27.5,24.0,33.0,0.022,,6.99 €,14.0,3.88,1784.8,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,6818,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981866,PARURE 140X200 OLIVE, BUTTONED QC 140X200 + 1PC 65X65+23 FLAP DOUBLE NEEDLE STITCH,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,SINGLE,140x200,440,,4,110,0.98,3.9,4.4,429.0,484.0,26.0,27.5,33.0,0.024,,14.99 €,173.0,6.73,2961.2,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,6818,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981866,PARURE 140X200 OLIVE, BUTTONED QC 140X200 + 1PC 65X65+23 FLAP DOUBLE NEEDLE STITCH,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,SINGLE,140x200,304,,4,76,0.98,3.9,4.4,296.4,334.4,26.0,27.5,33.0,0.024,,14.99 €,173.0,6.73,2045.92,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,6818,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981867,PARURE 200X200 OLIVE, BUTTONED QC 200X200 + 2PC 65X65+23 FLAP DOUBLE NEEDLE STITCH,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,STANDARD,200X200,476,,4,119,1.44,5.75,6.25,684.25,743.75,32.0,27.5,33.0,0.029,,19.99 €,173.0,11.15,5307.4,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,6818,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981867,PARURE 200X200 OLIVE, BUTTONED QC 200X200 + 2PC 65X65+23 FLAP DOUBLE NEEDLE STITCH,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,STANDARD,200X200,328,,4,82,1.44,5.75,6.25,471.5,512.5,32.0,27.5,33.0,0.029,,19.99 €,173.0,11.15,3657.2,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,6818,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981868,PARURE 240X220 OLIVE, BUTTONED QC 240X220 + 2PC 65X65+23 FLAP DOUBLE NEEDLE STITCH,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,240x220,695,,5,139,1.75,8.76,9.26,1217.64,1287.14,48.0,27.5,33.0,0.044,,24.99 €,173.0,13.05,9069.75,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,6818,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981868,PARURE 240X220 OLIVE, BUTTONED QC 240X220 + 2PC 65X65+23 FLAP DOUBLE NEEDLE STITCH,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,240x220,450,,5,90,1.75,8.76,9.26,788.4,833.4,48.0,27.5,33.0,0.044,,24.99 €,173.0,13.05,5872.5,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,"BASKET RECEIVED ON 7 AUG ETD ,VALIDATING BASKET ON 14 AUG ETD",,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981945,PARURE 140X200 MICROPANSY,QC 140X200 + 1PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,SINGLE,140X200,1392,,4,348,0.69,2.76,3.26,960.48,1134.48,27.5,19.0,33.0,0.017,6.0,6.99 €,68.0,3.88,5400.96,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981945,PARURE 140X200 MICROPANSY,QC 140X200 + 1PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,SINGLE,140X200,716,,4,179,0.69,2.76,3.26,494.04,583.54,27.5,19.0,33.0,0.017,3.086,6.99 €,68.0,3.88,2778.08,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981946,PARURE 200X200 MICROPANSY,QC 200X200+ 2PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,STANDARD,200X200,1440,,4,360,0.97,3.87,4.37,1393.2,1573.2,27.5,22.0,33.0,0.02,7.187,9.99 €,68.0,5.65,8136.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981946,PARURE 200X200 MICROPANSY,QC 200X200+ 2PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,STANDARD,200X200,792,,4,198,0.97,3.87,4.37,766.26,865.26,27.5,22.0,33.0,0.02,3.953,9.99 €,68.0,5.65,4474.8,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981947,PARURE 240X220 MICROPANSY,QC 240X220+ 2PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,DOUBLE,240X220,1705,,5,341,1.23,6.14,6.64,2093.74,2264.24,33.0,27.5,33.0,0.03,10.212,14.99 €,68.0,6.49,11065.45,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,MICROFIBER,SSH-27,6871,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981947,PARURE 240X220 MICROPANSY,QC 240X220+ 2PC 60X60,,,,MICROPANSY,,GREEN,DUVET/QUILT COVER SET,DOUBLE,240X220,960,,5,192,1.23,6.14,6.64,1178.88,1274.88,33.0,27.5,33.0,0.03,5.75,14.99 €,68.0,6.49,6230.4,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6910,,,54SSH27FRCA0103,SSH27FRCA0001,PROMO,,I981971,PARURE 140X200 NYC,QC 140X200 + 1PC 65X65,,,,NYC,,BLUE,DUVET/QUILT COVER SET,SINGLE,140X200,404,,4,101,1.02,4.08,4.58,412.08,462.58,27.5,24.0,33.0,0.022,,"29,99€
-20%
23,99€",161.0,9.52,3846.08,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6910,,,54SSH27FRCA0107,SSH27FRCA0001,PROMO,,I981971,PARURE 140X200 NYC,QC 140X200 + 1PC 65X65,,,,NYC,,BLUE,DUVET/QUILT COVER SET,SINGLE,140X200,300,,4,75,1.02,4.08,4.58,306.0,343.5,27.5,24.0,33.0,0.022,,"29,99€
-20%
23,99€",161.0,9.52,2856.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6873,,,54SSH27FRCA0104,SSH27FRCA0001,PROMO,,I981975,PARURE 200X200 DEHLI,QC 200X200+ 2PC 65X65 BOTTLENECK,,,,DEHLI,,AQUA,DUVET/QUILT COVER SET,STANDARD,200X200,592,,4,148,1.48,5.91,6.41,874.68,948.68,30.0,27.5,33.0,0.027,,"29,99€
-20%
23,99€",146.0,11.54,6831.68,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6873,,,54SSH27FRCA0108,SSH27FRCA0001,PROMO,,I981975,PARURE 200X200 DEHLI,QC 200X200+ 2PC 65X65 BOTTLENECK,,,,DEHLI,,AQUA,DUVET/QUILT COVER SET,STANDARD,200X200,404,,4,101,1.48,5.91,6.41,596.91,647.41,30.0,27.5,33.0,0.027,,"29,99€
-20%
23,99€",146.0,11.54,4662.16,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,NO MERGING,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6910,,,54SSH27FRCA0104,SSH27FRCA0001,PROMO,,I981984,PARURE 200X200 NYC,QC 200X200+ 2PC 65X65,,,,NYC,,BLUE,DUVET/QUILT COVER SET,STANDARD,200X200,424,,4,106,1.37,5.48,5.98,580.88,633.88,27.5,27.0,33.0,0.025,,"34,99€
-20%
27,99€",161.0,13.16,5579.84,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
FRANCE PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,6910,,,54SSH27FRCA0108,SSH27FRCA0001,PROMO,,I981984,PARURE 200X200 NYC,QC 200X200+ 2PC 65X65,,,,NYC,,BLUE,DUVET/QUILT COVER SET,STANDARD,200X200,300,,4,75,1.37,5.48,5.98,411.0,448.5,27.5,27.0,33.0,0.025,,"34,99€
-20%
27,99€",161.0,13.16,3948.0,2026-05-22,52,2026-07-13,2026-07-28,2026-08-14,,,,
