program,quality,season,ytm,shipping_mark,brand_name,pss,basket,flow_type,packaging_status,product_code,description,detail_size_description,new_repeat,master_contract,sam,design,widths,color,article,size_name,size_dims,quantity,cancelled_qty,pcb,order_cartons,net_wt_pcs,net_wt_ctn,gross_weight,total_net_wt,total_gross_wt,l,w,h,cbm,total_volume,tag_cards_yellow_tags,line_product_code_stickers,price,total_value,week_date,no_of_days,ytm_ship_dates,initial_fri,etd,comments,merged,etd_remarks,greige_file
SPAIN PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,545PV27ESCA0013,5PV27ESCA0001,IMPLANTATION,,I302571,JS ALG. DASH 180,JS180 : FL SHT 260x270 + FITTED 180x200x28+2  BC 45x100,,,,DASH,,WHITE 1,SHEET SET,KING,260x270,1140,,4,285,,,8.5,,,45.0,27.5,33.0,,,,,14.73,16792.2,2026-11-13,52,2027-01-04,2027-01-19,2027-02-05,no merging,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302575,JS MICROCUADRO 90,JS90 : FL SHT 160x270 + FITTED 90x200x26 + BC 45x110 ,,,,MICROCUADRO,,OFF WHITE,SHEET SET,SINGLE,160X270,,1884,6,0,0.94,5.63,6.13,0.0,0.0,36.0,27.5,33.0,0.033,,,,5.15,,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,CANCELLED,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302576,JS MICROCUADRO 135,JS135 : FL SHT 210x270 + FITTED 135x200x26 + 1 BC 45x155,,,,MICROCUADRO,,OFF WHITE,SHEET SET,STANDARD,210X270,,1625,5,0,1.23,6.17,6.67,0.0,0.0,36.0,27.5,33.0,,,,,6.79,,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,CANCELLED,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302577,JS MICROCUADRO 150,JS150 : FL SHT 230x270 + FITTED 150x200x26 +2 PC 45x80,,,,MICROCUADRO,,OFF WHITE,SHEET SET,DOUBLE,230X270,,2325,5,0,1.29,6.46,6.96,0.0,0.0,36.0,27.5,33.0,,,,,7.39,,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,CANCELLED,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302578,FN MICROAZULEJO 90,FN90 : QC 155X225+BC 45X110,,,,MICROAZULEJO,,BLUE,DUVET/QUILT COVER SET,SINGLE,155X225,,2130,6,0,,,,,,,,,,,,,4.96,,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,CANCELLED,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302579,FN MICROAZULEJO 135,FN135 : QC 225X225+ BC 45x155 | 7 butto,,,,MICROAZULEJO,,BLUE,DUVET/QUILT COVER SET,STANDARD,225X225,,1375,5,0,,,,,,,,,,,,,7.04,,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,CANCELLED,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302580,FN MICROAZULEJO 150,FN 150 : QC 250X230+BC  2X45x80 | 9 butto,,,,MICROAZULEJO,,BLUE,DUVET/QUILT COVER SET,DOUBLE,230X270,,1785,5,0,1.29,6.45,6.95,0.0,0.0,34.0,27.5,33.0,0.031,,,,7.66,,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,CANCELLED,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0012,5PV27ESCA0001,IMPLANTATION,,I302587,JS UNICORN 90,JS90 : FL SHT 160x270 + FITTED 90x200x28 + BC 45x110 ,,,,JUNIOR UNICORN,,GREEN,SHEET SET,SINGLE,160X270,1764,,6,294,1.26,7.55,8.05,2219.7,2366.7,45.0,27.5,33.0,0.0408375,12.006,,,7.9,13935.6,2026-10-30,52,2026-12-21,2027-01-05,2027-01-22,no merging,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0012,5PV27ESCA0001,IMPLANTATION,,I302588,FN UNICORN 90,FN90 : QC 155X225+BC 45X110,,,,JUNIOR UNICORN,,GREEN,DUVET/QUILT COVER SET,SINGLE,155X225,1524,,6,254,1.14,6.83,7.27,1734.82,1846.58,33.0,27.5,33.0,,,,,7.51,11445.24,2026-10-30,52,2026-12-21,2027-01-05,2027-01-22,no merging,,,
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302621,FN OLIVE 90,FN90 : QC 155X225+BC 45X110,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,SINGLE,155X225,1500,,6,250,,,7.41,,,45.0,27.5,33.0,,,,,7.82,11730.0,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
